Country Name,Indicator Name,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Azerbaijan,GDP per capita (constant 2010 US$),,,"3167,4566884871","3096,83559818653","2360,90882074801","1788,16653179266","1416,61884326386","1235,15043403456","1238,63567420925","1297,895500517","1414,19846659623","1505,57806550828","1659,01197218566","1809,18278786071","1965,23115605121","2149,50028837439","2327,94187189226","2948,5733802154","3921,51609399357","4864,5889086916","5268,02827724576","5643,20774373283","5843,5337683582","5677,15767105505","5725,63412853394","5982,32593110756","6073,40274983337","6064,4733413614","5813,33289333476","5765,4107718038","5801,43792487246","5895,19898603471","5593,22452252542"
"Bahamas, The",GDP per capita (constant 2010 US$),"29269,0428472396","30706,0957706862","29686,5779970791","27924,2136920271","26349,0720664969","25939,0437925782","26291,8205924019","27018,95782691","27783,1958052405","29343,9272984797","27710,2530834722","30724,0858188014","31571,3819885261","31910,567089742","32236,8555805285","31273,5886417984","30978,7986925105","31443,4355404401","31632,6430515746","31485,832691771","30191,1270283067","28440,5072625753","28443,8884756689","28248,51506471","28800,2446363964","27755,3228780593","27785,8808372685","27583,8510153692","27706,5135514135","28283,4071372308","28845,6297673412","28908,2516850313","23971,1079949469"
Bahrain,GDP per capita (constant 2010 US$),"18240,7418968615","17702,7250730149","17934,9062570079","19407,5779377059","20178,6789134481","22217,9777337988","21622,9593588722","21910,3014115828","22220,9746918666","22281,9305132698","22635,0962958746","22761,1893153745","22955,2718007393","22416,0702275594","21982,098937299","22058,8721481813","22144,5535062363","22066,3827911204","21795,5277642366","21837,4014868584","21562,5850917328","20796,2194690075","20722,0704900745","20516,5562122378","20924,7265270788","21805,1173792575","22395,3395590198","22353,3270134659","22272,9356538297","22167,0337734594","21465,7640453947","20936,084311099","19018,554449692"
Bangladesh,GDP per capita (constant 2010 US$),"397,761964746409","398,852167495349","411,164662114832","415,71480426922","428,661058931879","439,230050836379","446,654868287065","459,613417100791","470,274771368356","481,122490171197","495,626808067239","508,385274291106","524,945906845682","541,291703974584","551,903158863405","568,139322445104","588,327350259404","617,542748762953","649,930031786488","687,323153201175","720,357114994482","748,296170551721","781,153577677298","822,191849216613","865,761935715465","907,276918209657","951,332075867762","1002,38879511154","1061,99763191432","1127,16688626904","1203,06228114956","1287,82150232565","1305,25933193765"
Barbados,GDP per capita (constant 2010 US$),"14480,4417500097","14944,5493747139","14396,415938191","13783,2554445768","12950,2833884895","13004,5590804528","13214,7697372146","13427,0835291685","13903,9195347635","14501,2920282046","14977,6856987978","14965,5210663511","15570,2715543753","15147,1225054497","15214,5210900327","15494,0564500549","15658,431505033","16216,705269253","17102,4416614109","17402,1621737992","17446,2217713416","16491,940791229","16056,3709766031","15900,0236759993","15787,915318402","15533,2156148213","15484,9468972176","15836,2159907755","16202,0028131757","16254,4675766606","16136,9662294167","16100,0527835942","13249,4232194619"
Belarus,GDP per capita (constant 2010 US$),,,"3102,3312813345","3063,60005736517","2763,53034517162","2547,76602301976","2252,31699078187","2024,6089250128","2088,26304292158","2336,21265689013","2544,52680024729","2642,13034281536","2808,57494889476","2956,41530461209","3125,40643982263","3369,02930622984","3780,4759965654","4164,18550822824","4608,73674666689","5028,10690244594","5560,14622910331","5583,70185481887","6029,3967998293","6365,3780531651","6478,70481089972","6542,67841209401","6649,64932834342","6384,81714492541","6215,70186550089","6375,28892983321","6586,2977396088","6725,06047821156","6677,99892589229"
Belgium,GDP per capita (constant 2010 US$),"30818,8657051313","31772,4011406873","32671,6452350891","33147,139122237","33518,2431754678","33066,4173547589","34028,4248411231","34767,0289096958","35157,6952421495","36403,2582243852","37038,2489563237","38262,6247646785","39588,5978784345","39886,4953116175","40385,8680929315","40634,5964886326","41903,9923992143","42641,6935775474","43442,5827025048","44710,3842532272","44556,8252232385","43306,596023102","44141,8781415734","44309,6325382687","44361,2100930567","44355,3773098766","44855,9702018757","45507,2310582037","45850,9330303307","46415,2780486435","47030,582151299","47611,9137037576","44361,2483648185"
Belize,GDP per capita (constant 2010 US$),"2364,49447392744","2607,31550706266","2842,42486947982","3108,90605067743","3426,63438643552","3580,85431501349","3514,43324820685","3446,79432221275","3386,45558637039","3381,23637698728","3375,58325259931","3537,76855503951","3863,68020442911","3921,54643519433","3992,56614035846","4251,13981016257","4340,57685821744","4311,28627985992","4402,36369699107","4311,02470044482","4348,18274202577","4249,15959792795","4270,7800308201","4250,3869743326","4253,08766044306","4212,37042085008","4287,4426826203","4308,19014109239","4219,44709567948","4211,61892106456","4251,56867684659","4245,74392596053","3582,9781813196"
Benin,GDP per capita (constant 2010 US$),"838,929356180743","790,099959755281","833,613475528174","839,987431934611","835,260864793626","853,597058516258","841,513256449301","863,471585686764","872,915344556761","895,443382514591","903,772683829591","924,356722451508","949,737023299977","970,591003178602","985,212619338516","988,627425623198","1001,8546058334","989,372602397827","999,020589220904","1029,03270696903","1049,36867322863","1043,9613904914","1036,53459416252","1037,74722887462","1057,66716880358","1102,5268529911","1140,44817344446","1128,99539898579","1134,9241009146","1166,76191679649","1211,31802652492","1259,80816683369","1273,5413171047"
Bermuda,GDP per capita (constant 2010 US$),"76935,4800604743","76628,1744616135","76016,3279600362","73708,5624455409","74200,0894420749","76023,7539562529","75951,0011131894","78726,830311052","80259,6003492901","83440,8699191676","86060,6022389619","88475,2232723943","95861,4217532993","101681,522528728","99529,1975275934","102252,586369248","103944,939615834","105003,182150026","110190,625502305","113236,090907192","110467,717313846","103675,466763517","101875,28407346","98912,9027809322","93327,0312694711","92775,339821166","89153,7559893109","89708,8258715522","90062,1613062341","94309,5848817737","93833,8346049976","94274,2163813149",
